"file_name","section_number","a_Otsikko","b_Nykyinen_sisalto","c_Paivitystarve","d_Viittaus_uuteen_lakiin"
"11173","74","Väestönsuojan käyttöönottotarkastus","Väestönsuoja tarkastetaan ennen rakennuksen käyttöönotto- tai lopputarkastusta. Suojan käyttöönottotarkastuksessa testataan suojan ilmanvaihto sekä suojan tiiviys. Samalla tarkastetaan, että suojassa voidaan ylläpitää tarvittavaa ylipainetta ulkoilmaan näh- den ja että suojassa on säädösten mukaiset laitteet ja varusteet. Tarkastuksesta tehdään pöytäkirja. Kaikki annetut tiedot ja pii- rustukset tarkastetaan ja tarvittaessa korjataan ennen loppukat- selmusta. Uuden väestönsuojan käyttö- ja toimintakokeen tekee riittävän koulutuksen saanut henkilö, esimerkiksi laitevalmistajan edustaja.
Väestönsuojan rakenteisiin ja laitteisiin ei saa tehdä ilman rakennusluvan myöntävän viranomaisen lupaa muutoksia sen jälkeen, kun suoja on säädetyssä järjestyksessä tarkastettu ja hyväksytty käyttöön.","Uuden lain 122 §:n mukaan rakennusta tai sen osaa ei saa ottaa käyttöön ennen kuin rakennusvalvontaviranomainen on hyväksynyt sen loppukatselmuksessa käyttöön otettavaksi. Tämä tarkoittaa, että väestönsuojan käyttöönottotarkastus tulee olla osa rakennuksen loppukatselmusta, ja tarkastuksen suorittajan pätevyys tulee varmistaa uuden lain mukaisesti.","122 § Loppukatselmus"
"11173","75","Väestönsuojan lopputarkastus","Väestönsuojan lopullinen hyväksyntä tehdään rakennuksen käyttöönotto- tai lopputarkastuksen yhteydessä. Rakennutta- jan on rakennusvalvontaviranomaiselle viimeistään käyttöön- otto- tai lopputarkastuksen yhteydessä esitettävä luotettava selvitys siitä, että väestönsuoja laitteineen ja varusteineen täyttää asetetut vaatimukset sekä toimii tarkoitetulla tavalla. Pelastusviranomainen tekee rakennuksen käyttöönotto- tai lopputarkastuksen yhteydessä väestönsuojan tarkastuksen väestönsuojan käyttöönottotarkastuksessa tehdyn pöytäkir- jan perusteella.","Uuden lain 122 §:n mukaan rakennusta tai sen osaa ei saa ottaa käyttöön ennen kuin rakennusvalvontaviranomainen on hyväksynyt sen loppukatselmuksessa käyttöön otettavaksi. Tämä tarkoittaa, että väestönsuojan lopullinen hyväksyntä tulee olla osa loppukatselmusta, ja rakennusvalvontaviranomaisen on laadittava loppukatselmuksesta pöytäkirja. Lisäksi uuden lain mukaan loppukatselmukseen sovelletaan tarkempia sääntöjä siitä, keiden on oltava läsnä katselmuksessa.","122 § Loppukatselmus"
"11173","76","Väestönsuojan määräaikaistarkastukset","Rakennuksen omistajan on Pelastuslain 379/2011 mukaan huo- lehdittava suojan sekä sen laitteiden ja varusteiden käyttö- kunnon säilyttämisestä ja siitä, että suoja voidaan kunnostaa väestönsuojana käytettäväksi 72 tunnin kuluessa viranomaisen antamasta päätöksestä. Määräaikaistarkastus tehdään vähintään 10 vuoden välein.
Suojalaitteiden toimintakyvyn varmistamiseksi vuosittain vä- hintään ilmanvaihtolaitetta käytetään 5 minuuttia ja viemärin sulkuventtiilin käsipyörää kierretään täysin kiinni -asentoon ja sitten täysin auki -asentoon.
Aiemmin pelastusviranomaiset ovat tehneet väestönsuoji- en tarkastuksia palotarkastusten yhteydessä 10 vuoden välein. Pelastuslain 379/2011 mukaan palotarkastus on muutettu har- kinnanvaraiseksi riskikartoituksen pohjalta tehtäväksi, joten pelastusviranomaiset eivät systemaattisesti tarkasta myöskään väestönsuojia. Pelastusviranomainen tekee väestönsuojiin pistokoeluonteisia tarkastuksia. Ohjeita väestönsuojan tarkas- tamisesta ja kunnostamisesta on ohjeessa KH 05-00478 S1-luo- kan teräsbetoniväestönsuojan tarkastaminen ja kunnostaminen.","Uuden lain 140 §:n mukaan rakennuksen omistajan on pidettävä rakennus ympäristöineen sellaisessa kunnossa, että se jatkuvasti täyttää terveellisyyden, turvallisuuden ja käyttökelpoisuuden vaatimukset. Tämä voi vaikuttaa väestönsuojan tarkastusten ja kunnossapidon vaatimuksiin, erityisesti kun otetaan huomioon, että pelastusviranomaiset eivät enää systemaattisesti tarkasta väestönsuojia.","140 § Rakennuksen kunnossapito"
"11173","77","19 KUNNOSTETTAVAN VÄESTÖNSUOJAN TARKASTAMINEN MUUTOS- JA KORJAUSTYÖN YHTEYDESSÄ","Pelastuslain 379/2011 72 §:ssä säädetään väestönsuojan kun- nostamisvelvollisuudesta rakennuksen muutos- ja korjaustyön yhteydessä. Rakennusvalvontaviranomaisen kanssa selvite- tään, onko kyseessä sellainen korjaus- ja muutostyö, joka vel- voittaa kunnostamaan myös väestönsuojan.
Korjattavan rakennuksen väestönsuojassa tehdään virallinen tarkastus, jossa korjaustarpeen laajuuden määrittämiseksi käy- tetään samaa tarkastuspöytäkirjaa kuin valmiiden väestönsuo- jien tarkastamisessa.
Väestönsuojan kunnostuksesta tehdään korjaussuunnitelma ja työselostus sekä päivitetään virallinen väestönsuojapiirustus, joka toimitetaan rakennuslupaviranomaiselle ja pelastusviran- omaiselle. Liitteessä 1 seuraavalla sivulla on esimerkki lomak- keesta, jonka avulla voidaan määritellä eri-ikäisten väestönsuo- jien järjestelmien ja laitteiden kunnostustarve.","Uuden lain 30 §:n mukaan rakennuksen korjaus- ja muutostyössä on otettava huomioon rakennuksen ominaisuudet ja erityispiirteet eivätkä ne saa ilman painavaa syytä heikentyä korjaus- tai muutostyössä. Tämä vaikuttaa myös väestönsuojan tarkastamiseen ja kunnostamiseen, sillä korjaus- ja muutostöiden yhteydessä on varmistettava, että väestönsuojan ominaisuudet eivät heikenny.","30 § Rakennuksen korjaaminen"
"11173","78","Vanhan väestösuojan kunnostamisen täyttymisen ehdot","1. Jos kiinteistön korjaukseen on haettu rakennuslupaa maankäyttö- ja rakennuslain (132/1999) 125 §:n mukaan, kiinteistö voidaan velvoittaa kunnostamaan väestönsuoja, jos kohdan 2 ehdot täyttyvät.
2. Väestönsuojan kunnostus sidotaan korjauksen kokonaiskustannuksiin. Korjauksen yhteydessä väestönsuojan kunnostuskustannukset voivat olla enintään 2 prosenttia kokonaiskustannuksista. Jos kunnostuskustannukset ylittävät 2 prosenttia, hiekkasuodattimilla varustetut ilmanvaihtolaitteet tulee kunnostaa ensin ja sen jälkeen muut varusteet. Väestönsuojan normaaliolojen käytön perusparannusta ei oteta huomioon kustannuksia verrattaessa. Mikään erillinen rakennusosan tai järjestelmän kunnostus, kuten julkisivujen kunnostus, ikkunaremontti, linjasaneeraus, erilliset huoneisto- tai kylpyhuoneremontit, eivät edellytä yksinään väestönsuojan kunnostusta.
3. Väestönsuojan, jonka rakennuslupa on haettu ennen 1.7.1972, ilmanvaihtojärjestelmään kuuluva hiekkasuodatin tulee poistaa käytöstä rakennuksen peruskorjausten yhteydessä. Väestönsuoja varustetaan voimassa olevien määräysten mukaisilla ilmanvaihtolaitteilla. Muiden laitteiden ja varusteiden kunnostuksessa noudatetaan liitteen 1 taulukkoa.
4. Kunnostamisvelvollisuuden piiriin kuuluvat väestönsuojan tekniset yksityiskohdat, joiden vaatimuksista säädetään sisäasiainministeriön asetuksessa 506/2011 väestönsuojien teknisistä vaatimuksista ja väestönsuojien laitteiden kunnossapidosta. Väestönsuojan ikä ja kunto vaikuttavat velvoitteisiin.
5. Rakennusvalvontaviranomainen soveltaa tapauskohtaisesti väestönsuojan teknisiä yksityiskohtia koskevien vaatimusten sopivuutta kyseessä olevaan muutos- ja korjaustyöhön tai käyttötarkoituksen muuttamisen käsittävään rakentamiseen.","Uuden lain 42 §:n mukaan rakentamislupa tarvitaan myös sellaiseen korjaus- ja muutostyöhön, joka on verrattavissa rakennuksen rakentamiseen, sekä rakennuksen laajentamiseen tai sen kerrosalaan laskettavan tilan lisäämiseen. Tämä vaikuttaa väestönsuojan kunnostamisen vaatimuksiin, sillä uuden lain mukaan korjaus- ja muutostöissä on noudatettava uuden rakennuksen rakentamista koskevia vaatimuksia, jos rakenne tai rakennusosa on vaurioitunut siksi, että se ei ole ollut teknisesti toimiva.","42 § Rakentamislupa"
"11173","82","E1 Rakennusten paloturvallisuus. Määräykset ja ohjeet 2011.","E1 Rakennusten paloturvallisuus. Määräykset ja ohjeet 2011. Ympäristöministeriö, asunto- ja rakennusosasto. Suomen rakentamismääräyskokoelma (RT RakMK-21502, KH RakMK-10610, LVI RakMK-00464, SIT RakMK-620079).","Uuden lain 32 §:n mukaan rakennuksen paloturvallisuudesta on annettu tarkempia säännöksiä, jotka saattavat vaikuttaa vanhoihin määräyksiin ja ohjeisiin. Erityisesti palon syttymisen ja leviämisen rajoittamisesta sekä taloteknisten ja lämmitykseen käytettävien laitteistojen paloturvallisuudesta on annettu uusia säännöksiä.","32 § Paloturvallisuus"
"11173","82","E7 Ilmanvaihtolaitteistojen paloturvallisuus. Ohjeet 2004.","E7 Ilmanvaihtolaitteistojen paloturvallisuus. Ohjeet 2004. Ympäristöministeriö, asunto- ja rakennusosasto. Suomen rakentamismääräyskokoelma (RT RakMK-21219, KH RakMK-10381, LVI RakMK-00278).","Uuden lain 32 §:n mukaan ilmanvaihtolaitteistojen paloturvallisuudesta on annettu tarkempia säännöksiä, jotka saattavat vaikuttaa vanhoihin ohjeisiin. Erityisesti palon syttymisen ja leviämisen rajoittamisesta sekä taloteknisten ja lämmitykseen käytettävien laitteistojen paloturvallisuudesta on annettu uusia säännöksiä.","32 § Paloturvallisuus"
"11173","82","D1 Kiinteistöjen vesi- ja viemärilaitteistot. Määräykset ja ohjeet 2007.","D1 Kiinteistöjen vesi- ja viemärilaitteistot. Määräykset ja ohjeet 2007. Suomen rakentamismääräyskokoelma. 2007 - lisälehti, muutosasetus (RT RakMK-21351, KH RakMK-10485, LVI RakMK-00362).","Uuden lain 33 §:n mukaan rakennuksen terveellisyydestä, mukaan lukien vesihuolto, on annettu tarkempia säännöksiä, jotka saattavat vaikuttaa vanhoihin määräyksiin ja ohjeisiin. Erityisesti rakennuksen sisäilman, kosteus-, lämpö- ja valaistusolosuhteiden sekä vesihuollon terveellisyyteen liittyvät vaatimukset on määritelty tarkemmin.","33 § Terveellisyys"
"11173","82","D2 Rakennusten sisäilmasto ja ilmanvaihto, määräykset ja ohjeet 2012.","D2 Rakennusten sisäilmasto ja ilmanvaihto, määräykset ja ohjeet 2012. Suomen rakentamismääräyskokoelma (RT RakMK-21503, ΚΗ RakMK-10611, LVI RakMK-00465, SIT RakMK-620080).","Uuden lain 33 §:n mukaan rakennuksen terveellisyydestä, mukaan lukien sisäilmasto ja ilmanvaihto, on annettu tarkempia säännöksiä, jotka saattavat vaikuttaa vanhoihin määräyksiin ja ohjeisiin. Erityisesti rakennuksen sisäilman, kosteus-, lämpö- ja valaistusolosuhteiden sekä vesihuollon terveellisyyteen liittyvät vaatimukset on määritelty tarkemmin.","33 § Terveellisyys"
"11176","1","3 RAKENNUSTÖIDEN YLEISET LAATUVAATIMUKSET","Rakennustöiden yleisten laatuvaatimusten tarkoituksena on esittää kirjoitettuna rakennushankkeesta toiseen toistuvat määritykset yleisenä rakennusselostuksena, jonka sisältämiä vaatimuksia ei kohdekohtaisesti rakennusselostuksessa tarvitse toistaa.
Yleiset laatuvaatimukset esitetään julkaisusarjassa Rakennustöiden yleiset laatuvaatimukset RYL, jonka osat ovat: MaaRYL 2010 (julkaistu elokuussa 2010) RunkoRYL 2010 (julkaistu tammikuussa 2011)
SisäRYL 2013 (julkaistu joulukuussa 2012).
Edeltävien laitosten julkaisuajankohdat olivat: MaaRYL 2000 ilmestyi kesäkuussa 1997, RunkoRYL 2000 tammikuussa 1998 ja SisäRYL 2000 elokuussa 1998. RYL 90 oli julkaistu maaliskuussa 1989.
Kuva 3 kertoo pelkistetysti RYL:n käytön rakennusselostuksen laadinnassa.","Uuden lain 6 §:n mukaan Ympäristöministeriön on ylläpidettävä Suomen rakentamismääräyskokoelmaa, johon kootaan rakentamista koskevat säännökset ja määräykset sekä ministeriön ohjeet. Tämä vaikuttaa siihen, miten yleisiä laatuvaatimuksia tulee käsitellä ja viitata niihin rakennusselostuksessa.","6 § Suomen rakentamismääräyskokoelma"
"11176","1","2.1 Rakennusselostus hankkeen asiakirjana","Rakennusselostus on asiakirja, jolla yksilöidään rakennuskohteen rakennustekninen laatu.
Rakennusselostus on tekninen asiakirja. Sen tarkoituksena on kuvata rakennettavaksi aiottua rakennusta, rakennushankkeen lopputulosta. Sen saavuttamisen edellyttämät työtavat, toteuttamisen muoto ja sopimusjärjestelyt määritellään niitä koskevissa erityisissä asiakirjoissa.
Rakennusselostus on hankekohtainen asiakirja. Se laaditaan jokaista rakennuskohdetta varten yksilöllisesti. Yhdessä piirustusten kanssa se kuvaa rakennuskohteen seuraavan tehtävänjaon mukaan:
Piirustuksissa esitetään rakennuksen mitalliset ominaisuudet kuten muoto, sijainti, laajuus ja tarkat mitat. Rakennusselostuksessa esitetään sanallisesti rakennuksen laadulliset ominaisuudet, joita ei voida piirustuksellisin keinoin täsmällisesti määrittää.
Piirustuksissa olevien tekstien tulisi olla luonteeltaan selventäviä: laadulliset ominaisuudet selvitetään rakennusselostuksessa ja työtavat tarvittaessa työselostuksissa, kuva 2. Liitettäessä piirustukseen osa rakennusselostuksen tekstiä, tulee se selkeästi ilmaista ja pitää huolta tietojen yhdenpitävyydestä.
Pätevyysjärjestyksessä rakennusselostus on piirustusten edellä (YSE 1998,13 §, 1 mom.).","Uuden lain 60 §:n mukaan rakennuksen tietomallimuotoisella suunnitelmalla tarkoitetaan rakennuksen tietojen kokonaisuutta koneluettavassa ja yhteentoimivassa tietorakenteessa. Tämä vaikuttaa siihen, miten rakennusselostus tulee laatia ja esittää, jotta se on yhteensopiva tietomallien kanssa.","60 § Rakennuksen tietomallimuotoinen suunnitelma"
"11176","1","4.1 Rakennusselostusohjeen tarkoitus","Rakennusselostusohje on tarkoitettu yleispäteväksi ohjeeksi, jota voidaan käyttää talonrakennushankkeissa rakennuskohteen laajuudesta ja erityispiirteistä riippumatta. Sisällön otsikointi pyrkii olemaan kaikki tavanomaiset rakentamisen tavat kattava ja on sellaisena laajempi kuin yksittäisen rakennuskohteen selostus. Kohdekohtaista rakennusselostusta laadittaessa asioiden kokonaisuus ja esittämistapa määräytyvät kuvattavan kohteen mukaan. Talo 2000 -nimikkeistö on tähän ohjeeseen rakennettu niin, että kohdekohtaiset valinnat ovat mahdollisia. Rakennusselostusohje on tarkoitettu käytettäväksi yhdessä Rakennustöiden yleiset laatuvaatimukset RYL -julkaisusarjan kanssa. Rakennusselostusohje antaa ohjeet siitä, missä kohdassa rakennusselostusta mikin asia esitetään; RYL antaa ohjeet siitä, mitä mistäkin asiasta tulee rakennusselostuksessa määrittää. Kuvat 3, 4 ja 5.","Uuden lain 29 §:n mukaan rakennuksen on täytettävä olennaiset tekniset vaatimukset, ja rakennuksen suunnittelussa ja rakentamisessa on otettava huomioon elinkaariominaisuudet. Tämä vaikuttaa siihen, miten rakennusselostusohjeen tulee ohjata rakennusselostuksen laatimista.","29 § Rakentamiselle asetettavat vaatimukset"
"11176","8","1111 Raivausosat","1111 Raivausosat
Siirrettävän ja säilytettävän kasvillisuuden hoito- suunnitelma ks. 1134 Kasvillisuus.
Raivausosat käsittävät tonttialueen saattami- sen rakentamiskelpoiseksi. Raivausosat jae- taan rakenneosiin seuraavasti:
Raivattava alue
Olevat rakennukset ja rakenteet
Raivattava alue rajautuu suunnitelmissa esi- tettyihin asianomaiseen rakennettavan alueen rajoihin ja toisaalta talo-osiin.
MaaRYL 2010:
1111 Raivausosat
2211 Poistettava kasvillisuus, 2212 Siirrettävä kasvillisuus, 2213 Suojattava kasvillisuus ja luontoalueet 2214 Rakenteiden suojaaminen, 2221 Pintamaan poistaminen
RunkoRYL 2010:
11 Rakennusten ja rakennusosien purkaminen, 12 Haitallisten aineiden purkaminen, 13 Raken- nusten siirtäminen","Uuden lain 16 §:n mukaan purkumateriaali- ja rakennusjäteselvityksessä on ilmoitettava arviot rakennus- tai purkuhankkeessa syntyvien purkumateriaalien määristä. Tämä vaatimus ei ole selkeästi esitetty nykyisessä raivausosien kuvauksessa, joten se on päivitettävä vastaamaan uuden lain vaatimuksia.","16 § Purkumateriaali- ja rakennusjäteselvitys"
"11176","8","1112 Kaivannot","1112 Kaivannot
Pohjatutkimukset eivät kuulu nimikkeelle. Kaivettavat tai louhittavat alle 3 metriä leveät kaivannot ks. 1113 Kanaalit
Kaivantoja ovat alueelle ja rakennuksen perus- tamiseksi maahan kaivettavat tai louhittavat yli 3 metriä leveät kaivannot.
Kaivannot rajautuvat raivatun maan pin-
Kaivannon tukirakenteet ks. 1122 Tuennat. Kallion lujitus ja tiivistys ks. 1124 Erityiset tuennat ja taan, pohjavahvistettavien alueiden rajoihin vahvistukset sekä perustusten ja alapohjan alapintaan.
Kalliopinnan paljastus ks. 1111 Raivausosat.","Uuden lain 42 §:n mukaan rakentamislupa tarvitaan, jos kaivaminen vaikuttaa merkittävästi alueiden käyttöön tai ympäristönäkökohtiin. Tämä ei ole selkeästi esitetty nykyisessä kaivantojen kuvauksessa, joten se on päivitettävä vastaamaan uuden lain vaatimuksia.","42 § Rakentamislupa"
"11176","8","112 TUENNAT JA VAHVISTUKSET","112 TUENNAT JA VAHVISTUKSET
Tuentoja ja vahvistuksia ovat alueen ja rakennuksen paalut, tukirakenteet ja vahvistukset. 1121 Paalut","Uuden lain 31 §:n mukaan rakenteiden lujuuden ja vakauden on perustuttava rakenteiden mekaniikan sääntöihin ja yleisesti hyväksyttyihin suunnitteluperusteisiin. Tämä vaatimus ei ole selkeästi esitetty nykyisessä tuentojen ja vahvistusten kuvauksessa, joten se on päivitettävä vastaamaan uuden lain vaatimuksia.","31 § Rakenteiden lujuus ja vakaus"
"103141","1","5.1 Kulkuväylät ulkona","5.1 Kulkuväylät ulkona
Kulkuväylät toteutetaan maastoa muokkaamalla luiskien ja portaiden rakentamista välttäen aina, kun se on mahdollista. Varsinkin kulkuväylien sisäänkäynneille tulee olla esteettömiä. Kulkuväylän on oltava helposti havaittava, pinnaltaan tasainen, kova ja luistamaton.
Jos kulkuväylällä on porras, sen yhteydessä on oltava luiska tai kiinteästi asennettu pyörätuolin ja rollaattorin käyttäjälle soveltuva henkilöiden nostoon tarkoitettu laite. Ks. 4.5 Luiskat.
Esteettömyysasetuksen velvoite kulkuväylän esteettömyydestä ei koske omakoti- taloa, paritaloa eikä kaupunkipientaloa, jos esteettömän kulkuväylän toteuttaminen olisi rakennuspaikka ja korkeuserot huomioon ottaen mahdotonta.
Kulkuväylän kaltevuus, leveys ja korkeus
Ulkotilassa sijaitsevan kulkuväylän pituuskaltevuus saa olla enintään 5%. Rakennuk- seen johtavan kulkuväylän vapaan leveyden on oltava vähintään 1 200 mm. Sijainnin ja käytön mukaan kulkuväylän leveys on 1 200...2 300 mm.
Rakennuksesta ulkonevan rakennusosan, laitteen tai varusteen, kuten parvekkeen, erkkerin, katoksen, opasteen, valaisinlaitteen ja markiisin, alareunan korkeus maasta tai ajo- ja kulkuväylän pinnasta on oltava vähintään 2,2 m, jollei kohtaa ole suojattu törmäysvaaran estämiseksi.
Kulkuväylän pinta
Ulkona olevan kulkuväylän pinnan tulee olla kova, helposti havaittava, tasainen ja märkänäkin luistamaton. Soveltuvia päällystemateriaaleja ovat muun muassa asfaltti, betoni, kivituhka ja sileät, luistamattomat kivilaatat. Kiveyksissä poltettu kivipinta on toimiva katetuilla ja sulanapitojärjestelmällä varustetulla alueella. Kattamattomalla ja/tai lämmittämättömällä alueella ristipäähakattu kivipinta on sopiva. Saumojen suositeltu leveys on enintään 5 mm (saumakoko ilman saumamateriaalia). Tätä le- veämmissä saumoissa on kiinnitettävä erityistä huomiota saumamateriaaliin ja sau- man täyttöön, jotta saumakohtaan ei muodostu tasoeroa. Kiven yläreunan viistettä ei lueta saumaksi. Pinnan loivareunaiset kohoumat ja kuopat ovat enintään 20 mm korkeita ja jyrkkäreunaiset enintään 5 mm korkeita.","Uuden lain 35 §:n mukaan esteettömyys ja käytettävyys on otettava huomioon erityisesti lasten, ikääntyneiden, vammaisten ja liikkumis- ja toimimisesteisten henkilöiden kannalta. Tämä saattaa edellyttää tarkempia ohjeita ja vaatimuksia kulkuväylien suunnitteluun ja toteutukseen, erityisesti niiden kaltevuuden ja esteettömyyden osalta.","35 § Esteettömyys"
"103141","1","8 AKUSTIIKKA JA ÄÄNENSIIRTOJÄRJESTELMÄT","8 AKUSTIIKKA JA ÄÄNENSIIRTOJÄRJESTELMÄT","Uuden lain 36 §:n mukaan rakennuksen ja sen piha- ja oleskelualueiden melualtistus ja ääniolosuhteet eivät saa vaarantaa terveyttä, lepoa eivätkä työntekoa. Tämä saattaa edellyttää tarkempia ohjeita ja vaatimuksia akustiikan ja äänensiirtojärjestelmien suunnitteluun ja toteutukseen.","36 § Meluntorjunta ja ääniolosuhteet"
"103141","1","9.1 Opasteet","9.1 Opasteet","Uuden lain 35 §:n mukaan esteettömyys ja käytettävyys on otettava huomioon erityisesti lasten, ikääntyneiden, vammaisten ja liikkumis- ja toimimisesteisten henkilöiden kannalta. Tämä saattaa edellyttää tarkempia ohjeita ja vaatimuksia opasteiden suunnitteluun ja toteutukseen, erityisesti niiden selkeyden ja saavutettavuuden osalta.","35 § Esteettömyys"
"103141","2","Esteettömät autopaikat","Rakennusta varten olevista autopaikoista riittävä määrä, kuitenkin vähintään yksi, mitoitetaan esteettömäksi. Esteettömät autopaikat sisältyvät kaavamääräyksiin tai muutoin rakennusluvan myöntämisen yhteydessä tontille tai rakennuspaikalle mää- ritettäviin autopaikkoihin. Ellei asemakaavassa ole toisin määrätty, esteettömiä auto- paikkoja on 2 kpl, kun autopaikkoja on 50 tai alle. Sen jälkeen tarvitaan yksi esteetön paikka lisää kutakin alkavaa 50 autopaikkaa kohden.
Esteettömyysasetuksen velvoitteet esteettömistä autopaikoista eivät koske omako- titaloa, paritaloa eikä kaupunkipientaloa.
Esteettömät autopaikat sijoitetaan sisäänkäyntien, asiointikohteiden ja hissien lä- helle siten, että kulkuväylä näihin on esteetön ja mahdollisimman lyhyt. Paras sijainti on katoksen alla enintään 10 m:n etäisyydellä sisäänkäynnistä. Esteettömän auto- paikan leveys on vähintään 3 600 mm ja pituus vähintään 5 000 mm. Suositus auto- paikan sivu- ja pituuskaltevuudeksi on enintään 2%. Paikan pinnan on oltava kova, tasainen ja luistamaton. Kadun varteen sijoitetun esteettömän autopaikan suositeltu vähimmäispituus on 6 500 mm.
Esteetön autopaikka merkitään kansainvälisellä pyörätuolisymbolilla, joka sijoi- tetaan vähintään 900 mm:n korkeudelle kiinteään pystyopasteeseen ja autopaikan pintaan vähintään 500 mm:n kokoisena pysyvänä merkintänä.
Esteetön autopaikka voidaan merkitä lisäksi värillä, mikä lisää autopaikan havait- tavuutta. Sininen on paikan merkitsemiseen yleisesti käytetty väri. Merkintämaalilla maalattuja paikkoja suositellaan vain lämpimiin sisätiloihin, koska maalipinta voi kyl- missä tai märissä olosuhteissa olla liukas.","Uuden lain 35 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava, että rakennus ja sen piha- ja oleskelualueet suunnitellaan ja rakennetaan esteettömyys huomioon ottaen. Tämä voi vaikuttaa esteettömien autopaikkojen määrään ja sijoitteluun, erityisesti kun otetaan huomioon esteettömyyden laajempi soveltamisala ja mahdolliset uudet vaatimukset.","35 § Esteettömyys"
"103141","5","Kulkuväylän leveys ja korkeus","Alle 1500 mm leveällä kulkuväylällä on oltava vähintään 15 metrin välein kääntymisti- la, jonka halkaisija on vähintään 1 500 mm. Kääntymistilaa tarvitaan myös alle 15 met- rin pituisella kulkuväylällä, jos sen toiseen päähän ei ole suoraa näköyhteyttä. Asuin- rakennuksissa velvoite koskee vain yleisten tilojen sisäistä kulkuväylää. Uloskäytävän leveydestä ja korkeudesta säädetään asetuksessa rakennuksen paloturvallisuudesta. Huonetilan kulkuväylän vähimmäiskorkeus on 2 100 mm. Oviaukon kohdalla kor- keus voi olla välttämättömien karmien ja kynnysten verran pienempi. Muun kuin uloskäytävässä olevan ja siihen johtavan portaan, sekä asunnon sisäisen portaan kulkukorkeus voi olla 1 950 mm.","Uuden lain 35 §:n mukaan esteettömyys ja käytettävyys on otettava huomioon erityisesti lasten, ikääntyneiden, vammaisten ja liikkumis- ja toimimisesteisten henkilöiden kannalta. Tämä saattaa vaikuttaa kulkuväylien mitoitukseen ja esteettömyysvaatimuksiin, mikä ei ole suoraan käsitelty vanhassa ohjeessa.","35 § Esteettömyys"
"103141","9","5.4 Portaat","Portaan on oltava turvallinen ja tarkoitukseensa soveltuva, eikä sen pinta saa olla liukas. Porras on käyttökelpoisimmillaan suoravartinen. Välitasanne on suositeltava 10...15 askelman välein.
Tasoeroissa vältetään yksittäisiä askelmia, avoaskelmia sekä ulkonevia askelmien etureunoja. Portaat varustetaan molemmin puolin käsijohteilla. Portaat valaistaan hyvin portaiden koko pituudelta.
Ulkoportaiden kattaminen tai lämmittäminen on suositeltavaa. Ulkotilassa olevan kerrostasojen välisen portaan tulee olla katettu. Asuinkerrostalossa, jossa ei ole his- siä, kerrostasojen välisen portaan on lisäksi saatava luonnonvaloa ja siinä on oltava vähintään yksi välitasanne.
Kulkuväylillä olevista ja niiden läheisyydessä sijaitsevista portaista varoitetaan huo- miolaatoilla (varoittavilla laatoilla). Portaan alle joutumisesta aiheutuva törmäysvaara estetään rakenteellisin ratkaisuin, esimerkiksi kaitein.","Uuden lain 35 §:n mukaan rakennuksen ja sen piha- ja oleskelualueet on suunniteltava ja rakennettava esteettömyys huomioon ottaen erityisesti lasten, ikääntyneiden, vammaisten ja liikkumis- ja toimimisesteisten henkilöiden kannalta. Tämä voi vaikuttaa portaiden suunnitteluun ja vaatia lisäohjeistusta esteettömyyden varmistamiseksi.","35 § Esteettömyys"
